,quotes,count,cluster
524,great host,274,L:Wandsworth_P:cheap_S:room
525,nice place,230,L:Wandsworth_P:cheap_S:room
526,clean,209,L:Wandsworth_P:cheap_S:room
527,walking distance,201,L:Wandsworth_P:cheap_S:room
528,comfortable bed,141,L:Wandsworth_P:cheap_S:room
529,comfortable,119,L:Wandsworth_P:cheap_S:room
530,like home,100,L:Wandsworth_P:cheap_S:room
531,central location,91,L:Wandsworth_P:cheap_S:room
532,easy access,85,L:Wandsworth_P:cheap_S:room
533,battersea park,82,L:Wandsworth_P:cheap_S:room
534,everything needed,77,L:Wandsworth_P:cheap_S:room
535,clapham junction,74,L:Wandsworth_P:cheap_S:room
536,value money,69,L:Wandsworth_P:cheap_S:room
537,feel welcome,66,L:Wandsworth_P:cheap_S:room
538,close tube station,61,L:Wandsworth_P:cheap_S:room
539,public transport,53,L:Wandsworth_P:cheap_S:room
540,bus stop,52,L:Wandsworth_P:cheap_S:room
541,friendly helpful,47,L:Wandsworth_P:cheap_S:room
542,train station,44,L:Wandsworth_P:cheap_S:room
543,private bathroom,43,L:Wandsworth_P:cheap_S:room
544,lovely home,41,L:Wandsworth_P:cheap_S:room
545,friendly welcoming,38,L:Wandsworth_P:cheap_S:room
546,comfortable room,32,L:Wandsworth_P:cheap_S:room
