,location,price-boroughwise,property_type,review_scores_rating,listing_id
29900,Camden,average,small,97.0,25122855.0
29926,Camden,expensive,small,100.0,25132994.0
29936,Camden,cheap,room,96.0,25139232.0
29950,Camden,cheap,large,82.0,25152269.0
29959,Camden,very_expensive,large,88.0,25156314.0
29968,Camden,very_cheap,room,95.0,25172747.0
29977,Camden,very_expensive,large,89.0,25176514.0
29979,Camden,very_expensive,large,90.0,25176832.0
29991,Camden,average,large,88.0,25180753.0
30005,Camden,expensive,large,92.0,25197086.0
30012,Camden,very_expensive,large,97.0,25203548.0
30014,Camden,expensive,small,90.0,25205312.0
30053,Camden,expensive,large,92.0,25242555.0
30060,Camden,very_expensive,room,95.0,25243972.0
30062,Camden,very_expensive,room,93.0,25244031.0
30063,Camden,very_expensive,large,80.0,25244543.0
30069,Camden,very_expensive,room,100.0,25245673.0
30090,Camden,cheap,small,93.0,25255295.0
30117,Camden,cheap,small,100.0,25277958.0
30121,Camden,expensive,small,96.0,25279452.0
30124,Camden,very_expensive,large,86.0,25280193.0
30135,Camden,average,large,85.0,25282018.0
30151,Camden,cheap,small,100.0,25291479.0
30165,Camden,very_expensive,large,90.0,25304660.0
30179,Camden,very_cheap,room,91.0,25310146.0
30183,Camden,average,small,87.0,25311976.0
30184,Camden,expensive,large,94.0,25312381.0
30199,Camden,average,small,97.0,25318881.0
30200,Camden,very_expensive,room,100.0,25319588.0
30213,Camden,cheap,room,93.0,25332587.0
30236,Camden,very_cheap,room,86.0,25348014.0
30244,Camden,average,large,96.0,25358103.0
30256,Camden,very_expensive,large,97.0,25367434.0
30265,Camden,expensive,large,86.0,25375424.0
30334,Camden,very_cheap,room,98.0,25438683.0
30387,Camden,very_cheap,room,95.0,25474162.0
30390,Camden,cheap,large,80.0,25475917.0
30403,Camden,expensive,large,96.0,25480696.0
30417,Camden,very_expensive,large,84.0,25494737.0
30427,Camden,very_cheap,room,97.0,25499505.0
30433,Camden,very_expensive,large,92.0,25501708.0
30434,Camden,very_cheap,room,100.0,25502742.0
30447,Camden,cheap,small,95.0,25523167.0
30519,Camden,cheap,room,96.0,25605925.0
30521,Camden,very_cheap,room,80.0,25609819.0
30522,Camden,very_expensive,large,80.0,25609832.0
30542,Camden,cheap,room,95.0,25632831.0
30544,Camden,very_cheap,room,90.0,25646025.0
30553,Camden,cheap,small,96.0,25660986.0
30566,Camden,expensive,large,100.0,25672996.0
30567,Camden,very_expensive,large,97.0,25675087.0
30592,Camden,expensive,small,100.0,25710803.0
30595,Camden,expensive,small,77.0,25713063.0
30614,Camden,very_cheap,room,99.0,25731529.0
30634,Camden,very_expensive,small,73.0,25762666.0
30639,Camden,very_expensive,large,87.0,25765093.0
